"numID","posiSelf","posiOther","dEvSelf","dEvOther","aEvSelf","aEvOther","alphaPrec","genLR","repLR","wp0","wAttr","mem","LL","LP","AIC","BIC","eaS1neg","eaS1pos","eaSneg","eaSneu","eaSpos","eaO1neg","eaO1pos","eaOneg","eaOneu","eaOpos","ltS1neg","ltS1pos","ltSneg","ltSneu","ltSpos","ltO1neg","ltO1pos","ltOneg","ltOneu","ltOpos"
660001.000000,1.245377,0.470754,2.232743,2.232743,0.693147,0.693147,1.853838,-2.197225,0.434222,1.125914,4.526231,6.910000,-56.410237,-50.737322,126.820475,135.481552,4.909091,5.836364,4.000000,5.600000,NaN,3.854545,4.727273,NaN,4.090909,5.054545,3.018182,6.000000,1.545455,4.018182,NaN,2.000000,5.000000,NaN,3.381818,5.200000
660002.000000,2.015039,-0.273324,3.714992,3.714992,0.693147,0.693147,2.134785,-2.197225,-1.097808,-0.694897,3.177818,6.910000,-43.038571,-38.224291,100.077142,108.738219,3.145455,4.636364,2.418182,5.000000,NaN,1.054545,2.018182,NaN,2.345455,2.654545,2.418182,6.000000,1.000000,3.927273,NaN,1.000000,4.618182,NaN,2.981818,5.000000
660003.000000,0.943846,0.742166,1.413737,1.413737,0.693147,0.693147,1.592615,-2.197225,0.072711,1.326304,7.924448,6.910000,-74.380773,-68.662354,162.761545,171.422622,4.454545,6.000000,3.272727,5.600000,NaN,3.509091,5.054545,NaN,4.745455,5.890909,2.781818,6.000000,1.181818,4.000000,NaN,1.763636,5.000000,NaN,3.036364,5.181818
660004.000000,1.474102,0.209801,0.452945,0.452945,0.693147,0.693147,1.838515,-2.197225,-0.907375,0.323959,4.093396,6.910000,-45.891500,-40.085100,105.782999,114.444076,4.127273,6.000000,3.127273,5.490909,NaN,2.745455,3.981818,NaN,3.745455,4.872727,2.690909,6.000000,1.000000,4.000000,NaN,1.709091,5.000000,NaN,3.000000,5.072727
660005.000000,0.995166,0.024777,3.233939,3.233939,0.693147,0.693147,2.381809,-2.197225,-0.504264,-0.254529,4.787445,6.910000,-51.216192,-45.951441,116.432384,125.093461,4.036364,5.290909,3.472727,5.490909,NaN,1.581818,2.709091,NaN,2.600000,3.072727,2.818182,6.000000,1.127273,4.000000,NaN,1.763636,4.709091,NaN,3.000000,5.000000
660006.000000,0.975331,0.266680,1.854780,1.854780,0.693147,0.693147,1.960701,-2.197225,0.242675,0.697571,9.228211,6.910000,-72.811898,-67.184043,159.623797,168.284874,4.945455,6.000000,3.981818,5.818182,NaN,2.709091,5.072727,NaN,4.054545,4.309091,2.890909,6.000000,1.345455,4.036364,NaN,1.781818,5.000000,NaN,3.127273,5.054545
660007.000000,1.050573,-0.002445,0.242181,0.242181,0.693147,0.693147,1.906487,-2.197225,0.078431,0.170734,2.056455,6.910000,-43.107261,-37.335093,100.214522,108.875600,3.654545,4.927273,2.854545,5.054545,NaN,2.545455,3.818182,NaN,3.509091,3.781818,2.418182,6.000000,1.000000,3.927273,NaN,1.763636,4.909091,NaN,3.000000,5.036364
660008.000000,2.026940,0.100435,1.499407,1.499407,0.693147,0.693147,2.014373,-2.197225,-1.334345,0.100983,7.996960,6.910000,-51.357847,-45.672757,116.715694,125.376771,4.909091,6.000000,3.872727,5.818182,NaN,1.054545,3.545455,NaN,3.781818,4.454545,3.018182,6.000000,1.163636,4.018182,NaN,1.327273,4.854545,NaN,3.000000,5.000000
660009.000000,0.404784,-0.149608,0.879565,0.879565,0.693147,0.693147,1.937268,-2.197225,-0.999623,-0.691885,2.718321,6.910000,-49.857169,-44.076206,113.714338,122.375415,2.854545,4.181818,1.727273,3.672727,NaN,1.418182,2.745455,NaN,2.254545,3.018182,2.181818,6.000000,1.000000,3.781818,NaN,1.036364,4.600000,NaN,2.981818,5.000000
660010.000000,1.022523,-0.508950,1.087328,1.087328,0.693147,0.693147,2.142747,-2.197225,-1.422111,-0.205053,5.550496,6.910000,-47.232874,-41.476446,108.465748,117.126826,4.490909,6.000000,3.163636,5.400000,NaN,1.036364,2.363636,NaN,2.163636,2.854545,2.690909,6.000000,1.000000,3.927273,NaN,1.000000,4.854545,NaN,2.981818,5.000000
660011.000000,0.565576,0.861229,0.938522,0.938522,0.693147,0.693147,1.915659,-2.197225,2.817361,1.999158,4.340478,6.910000,-40.857535,-35.094314,95.715070,104.376147,4.636364,6.000000,3.763636,5.490909,NaN,3.872727,5.000000,NaN,4.763636,5.872727,3.000000,6.000000,1.836364,4.000000,NaN,2.000000,5.000000,NaN,3.327273,5.436364
660012.000000,2.422310,0.259099,1.997750,1.997750,0.693147,0.693147,1.781102,-2.197225,-0.964179,0.121624,7.888152,6.910000,-65.573438,-59.924003,145.146875,153.807952,5.036364,6.000000,3.945455,5.854545,NaN,2.363636,4.054545,NaN,3.927273,4.345455,3.018182,6.000000,1.163636,4.054545,NaN,1.618182,4.890909,NaN,2.981818,5.018182
660013.000000,1.212020,0.944285,4.171855,4.171855,0.693147,0.693147,2.124470,-2.197225,-0.147391,-0.590488,4.195532,6.910000,-52.394501,-48.591678,118.789002,127.450079,3.872727,3.945455,2.836364,4.527273,NaN,1.818182,2.563636,NaN,4.218182,4.581818,2.818182,5.945455,1.000000,3.909091,NaN,1.581818,4.472727,NaN,3.000000,5.000000
